"primary_genre","each_total","pct_of_apps"
"Business",22,0.70
"Photo & Video",30,0.95
"Navigation",1,0.03
"Music",6,0.19
"Productivity",13,0.41
"News",12,0.38
"Entertainment",118,3.74
"Finance",4,0.13
"Utilities",62,1.97
"Food & Drink",6,0.19
"Utilities",12,0.38
"Games",277,8.78
"Travel",24,0.76
"Social Networking",5,0.16
"Shopping",41,1.30
"Navigation",13,0.41
"Book",14,0.44
"Music",58,1.84
"Entertainment",26,0.82
"Medical",11,0.35
"Photo & Video",154,4.88
"Business",4,0.13
"Health & Fitness",81,2.57
"News",2,0.06
"Weather",2,0.06
"Games",1664,52.74
"Reference",21,0.67
"Book",30,0.95
"Catalogs",1,0.03
"Sports",15,0.48
"Medical",2,0.06
"Travel",5,0.16
"Health & Fitness",24,0.76
"Weather",24,0.76
"Education",134,4.25
"Food & Drink",15,0.48
"Lifestyle",29,0.92
"Education",24,0.76
"Finance",20,0.63
"Social Networking",36,1.14
"Productivity",78,2.47
"Sports",6,0.19
"Shopping",12,0.38
"Lifestyle",8,0.25
"Reference",8,0.25
