"name","play_store_rating","install_count","play_store_content_rating","app_store_genres"
"Dude Perfect",4.5,"10,000+","Everyone","Games"
"Solitaire",4.7,"100,000+","Everyone","Games"
"Seven - 7 Minute Workout Training Challenge",4.5,"1,000,000+","Everyone","Health & Fitness"
"Fuel Rewards® program",4.6,"1,000,000+","Everyone","Shopping"
"DoorDash - Food Delivery",4.5,"1,000,000+","Everyone","Food & Drink"
"Egg, Inc.",4.7,"5,000,000+","Everyone","Games"
"Trello",4.5,"5,000,000+","Everyone","Productivity"
"Discord - Chat for Gamers",4.5,"10,000,000+","Teen","Social Networking"
"Solitaire",4.7,"10,000,000+","Everyone","Games"
"Angry Birds Epic RPG",4.5,"10,000,000+","Everyone","Games"
"Disney Crossy Road",4.5,"10,000,000+","Everyone","Games"
"Domino's Pizza USA",4.7,"10,000,000+","Everyone","Food & Drink"
"Hot Wheels: Race Off",4.5,"10,000,000+","Everyone","Games"
"GroupMe",4.5,"10,000,000+","Everyone","Social Networking"
"Dude Perfect 2",4.5,"10,000,000+","Everyone","Games"
"Nyan Cat: Lost In Space",4.5,"10,000,000+","Everyone 10+","Games"
"Angry Birds Blast",4.6,"10,000,000+","Everyone","Games"
"Real Racing 3",4.5,"10,000,000+","Everyone","Games"
"ASOS",4.7,"10,000,000+","Everyone","Shopping"
"Starbucks",4.5,"10,000,000+","Everyone","Food & Drink"
"My Horse",4.5,"10,000,000+","Everyone","Games"
"Geometry Dash World",4.6,"10,000,000+","Everyone","Games"
"Chase Mobile",4.6,"10,000,000+","Everyone","Finance"
"Fishdom",4.6,"10,000,000+","Everyone","Games"
"Real Basketball",4.5,"10,000,000+","Everyone","Games"
