"name","play_store_genres","app_store_genres","play_store_price","app_store_price","play_store_rating","app_store_rating"
"Angry Birds Blast","Puzzle","Games","0","0.00","4.6","4.5"
"Angry Birds Epic RPG","Role Playing","Games","0","0.00","4.5","4.5"
"Animal Jam - Play Wild!","Casual;Pretend Play","Games","0","0.00","4.6","4.5"
"Army of Heroes","Strategy","Games","0","0.00","4.5","4.5"
"ASOS","Shopping","Shopping","0","0.00","4.7","5.0"
"Asphalt 8: Airborne","Racing","Games","0","0.00","4.5","4.5"
"Bible","Books & Reference","Reference","0","0.00","4.7","4.5"
"Boom Beach","Strategy","Games","0","0.00","4.5","4.5"
"Bullet Force","Action","Games","0","0.00","4.5","4.5"
"Chase Mobile","Finance","Finance","0","0.00","4.6","4.5"
"Choices: Stories You Play","Simulation","Games","0","0.00","4.6","4.5"
"Clash of Clans","Strategy","Games","0","0.00","4.6","4.5"
"Clash Royale","Strategy","Games","0","0.00","4.6","4.5"
"Cooking Fever","Arcade","Games","0","0.00","4.5","4.5"
"Discord - Chat for Gamers","Communication","Social Networking","0","0.00","4.5","4.5"
"Disney Crossy Road","Arcade;Action & Adventure","Games","0","0.00","4.5","4.5"
"Domino's Pizza USA","Food & Drink","Food & Drink","0","0.00","4.7","5.0"
"DoorDash - Food Delivery","Food & Drink","Food & Drink","0","0.00","4.5","4.5"
"Dude Perfect","Sports","Games","0","0.99","4.5","4.5"
"Dude Perfect 2","Action","Games","0","0.00","4.5","4.5"
"Egg, Inc.","Simulation","Games","0","0.00","4.7","5.0"
"Fallout Shelter","Simulation","Games","0","0.00","4.6","4.5"
"Fernanfloo","Arcade","Games","0","0.00","4.8","4.5"
"FINAL FANTASY BRAVE EXVIUS","Role Playing","Games","0","0.00","4.6","4.5"
"Fishdom","Puzzle","Games","0","0.00","4.6","4.5"
"Fuel Rewards® program","Lifestyle","Shopping","0","0.00","4.6","4.5"
"Geometry Dash Lite","Arcade","Games","0","0.00","4.5","5.0"
"Geometry Dash Meltdown","Arcade","Games","0","0.00","4.6","4.5"
"Geometry Dash World","Arcade","Games","0","0.00","4.6","4.5"
"GroupMe","Communication","Social Networking","0","0.00","4.5","4.5"
"Hay Day","Casual","Games","0","0.00","4.5","4.5"
"Hill Climb Racing 2","Racing","Games","0","0.00","4.6","4.5"
"Hitman Sniper","Action","Games","$0.99 ","0.99","4.6","4.5"
"Hot Wheels: Race Off","Racing;Action & Adventure","Games","0","0.00","4.5","4.5"
"Hungry Shark Evolution","Arcade","Games","0","0.00","4.5","4.5"
"Hungry Shark World","Action","Games","0","0.00","4.5","4.5"
"Instagram","Social","Photo & Video","0","0.00","4.5","4.5"
"MARVEL Future Fight","Role Playing","Games","0","0.00","4.6","4.5"
"Microsoft Excel","Productivity","Productivity","0","0.00","4.5","4.5"
"Microsoft Word","Productivity","Productivity","0","0.00","4.5","4.5"
"My Horse","Casual","Games","0","0.00","4.5","4.5"
"My Talking Angela","Casual","Games","0","0.00","4.5","4.5"
"My Talking Tom","Casual","Games","0","0.00","4.5","4.5"
"Narcos: Cartel Wars","Strategy","Games","0","0.00","4.7","4.5"
"Nyan Cat: Lost In Space","Arcade","Games","0","0.00","4.5","4.5"
"OK K.O.! Lakewood Plaza Turbo","Action;Action & Adventure","Games","0","0.00","4.5","4.5"
"PewDiePie's Tuber Simulator","Casual","Games","0","0.00","4.8","5.0"
"PicsArt Photo Studio: Collage Maker & Pic Editor","Photography","Photo & Video","0","0.00","4.5","4.5"
"Pinterest","Social","Social Networking","0","0.00","4.6","4.5"
"Real Basketball","Sports","Games","0","0.00","4.5","4.5"
"Real Racing 3","Racing;Action & Adventure","Games","0","0.00","4.5","4.5"
"ROBLOX","Adventure;Action & Adventure","Games","0","0.00","4.5","4.5"
"Rolling Sky","Board","Games","0","0.00","4.5","4.5"
"Score! Hero","Sports","Games","0","0.00","4.6","4.5"
"Seven - 7 Minute Workout Training Challenge","Health & Fitness","Health & Fitness","0","0.00","4.5","4.5"
"Shadow Fight 2","Action","Games","0","0.00","4.6","4.5"
"SimCity BuildIt","Simulation","Games","0","0.00","4.5","4.5"
"Smash Hit","Arcade","Games","0","0.00","4.5","4.5"
"Solitaire","Card","Games","0","0.00","4.7","4.5"
"Sonic Dash","Arcade","Games","0","0.00","4.5","4.5"
"Star Wars™: Galaxy of Heroes","Role Playing","Games","0","0.00","4.5","4.5"
"Starbucks","Food & Drink","Food & Drink","0","0.00","4.5","4.5"
"Subway Surfers","Arcade","Games","0","0.00","4.5","4.5"
"The Guardian","News & Magazines","News","0","0.00","4.7","5.0"
"The Washington Post Classic","News & Magazines","News","0","0.00","4.5","4.5"
"Township","Casual","Games","0","0.00","4.6","4.5"
"Toy Blast","Puzzle","Games","0","0.00","4.7","4.5"
"Traffic Racer","Racing","Games","0","0.00","4.5","4.5"
"Trello","Productivity","Productivity","0","0.00","4.5","4.5"
"Trivia Crack","Trivia","Games","0","0.00","4.5","4.5"
"War Robots","Action","Games","0","0.00","4.6","4.5"
"Wish - Shopping Made Fun","Shopping","Shopping","0","0.00","4.5","4.5"
"YouTube Kids","Entertainment;Music & Video","Entertainment","0","0.00","4.5","4.5"
"Zombie Catchers","Action","Games","0","0.00","4.7","4.5"
